category,type,year,metric,value
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2016-17,Prosecutions,932
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2017-18,Convictions,681
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2017-18,Prosecutions,976
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2018-19,Convictions,465
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2018-19,Prosecutions,723
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2019-20,Convictions,400
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2019-20,Prosecutions,703
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2020-21,Convictions,205
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2020-21,Prosecutions,659
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2021-22,Convictions,330
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2021-22,Prosecutions,561
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2022-23,Convictions,293
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2022-23,Prosecutions,432
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2023-24,Convictions,351
03801 - Concealing or transferring proceeds of criminal conduct (principal offence only) - Section 327 of POCA,Overall,2023-24,Prosecutions,477
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2013-14,Convictions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2013-14,Prosecutions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2014-15,Convictions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2014-15,Prosecutions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2015-16,Convictions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2015-16,Prosecutions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2016-17,Convictions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2016-17,Prosecutions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2017-18,Convictions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2017-18,Prosecutions,2
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2018-19,Convictions,4
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2018-19,Prosecutions,1
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2019-20,Convictions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2019-20,Prosecutions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2020-21,Convictions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2020-21,Prosecutions,1
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2021-22,Convictions,1
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2021-22,Prosecutions,2
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2022-23,Convictions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2022-23,Prosecutions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2023-24,Convictions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Corporate,2023-24,Prosecutions,0
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2013-14,Convictions,201
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2013-14,Prosecutions,266
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2014-15,Convictions,149
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2014-15,Prosecutions,264
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2015-16,Convictions,206
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2015-16,Prosecutions,286
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2016-17,Convictions,278
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2016-17,Prosecutions,351
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2017-18,Convictions,209
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2017-18,Prosecutions,210
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2018-19,Convictions,173
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2018-19,Prosecutions,174
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2019-20,Convictions,107
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2019-20,Prosecutions,132
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2020-21,Convictions,62
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2020-21,Prosecutions,135
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2021-22,Convictions,74
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2021-22,Prosecutions,133
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2022-23,Convictions,86
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2022-23,Prosecutions,113
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2023-24,Convictions,101
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Individual,2023-24,Prosecutions,88
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2013-14,Convictions,201
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2013-14,Prosecutions,295
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2014-15,Convictions,149
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2014-15,Prosecutions,287
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2015-16,Convictions,206
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2015-16,Prosecutions,312
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2016-17,Convictions,278
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2016-17,Prosecutions,373
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2017-18,Convictions,210
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2017-18,Prosecutions,236
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2018-19,Convictions,177
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2018-19,Prosecutions,187
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2019-20,Convictions,107
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2019-20,Prosecutions,146
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2020-21,Convictions,62
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2020-21,Prosecutions,167
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2021-22,Convictions,77
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2021-22,Prosecutions,178
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2022-23,Convictions,87
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2022-23,Prosecutions,147
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2023-24,Convictions,104
"03802 - Arrangements - being concerned in arrangement, knowing or suspecting, facilitating acquisition, retention, use or control of criminal property by or on behalf of another person (principal offence only) - Section 328 of POCA",Overall,2023-24,Prosecutions,123
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2013-14,Convictions,0
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2013-14,Prosecutions,0
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2014-15,Convictions,0
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2014-15,Prosecutions,0
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2015-16,Convictions,0
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2015-16,Prosecutions,0
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2016-17,Convictions,0
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2016-17,Prosecutions,1
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2017-18,Convictions,1
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2017-18,Prosecutions,2
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2018-19,Convictions,0
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2018-19,Prosecutions,1
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2019-20,Convictions,1
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2019-20,Prosecutions,2
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2020-21,Convictions,0
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2020-21,Prosecutions,0
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2021-22,Convictions,0
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2021-22,Prosecutions,1
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2022-23,Convictions,0
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2022-23,Prosecutions,2
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2023-24,Convictions,1
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Corporate,2023-24,Prosecutions,1
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2013-14,Convictions,505
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2013-14,Prosecutions,1007
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2014-15,Convictions,542
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2014-15,Prosecutions,930
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2015-16,Convictions,598
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2015-16,Prosecutions,830
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2016-17,Convictions,606
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2016-17,Prosecutions,781
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2017-18,Convictions,669
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2017-18,Prosecutions,903
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2018-19,Convictions,541
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2018-19,Prosecutions,725
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2019-20,Convictions,480
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2019-20,Prosecutions,803
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2020-21,Convictions,456
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2020-21,Prosecutions,1000
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2021-22,Convictions,551
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2021-22,Prosecutions,964
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2022-23,Convictions,472
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2022-23,Prosecutions,826
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2023-24,Convictions,498
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Individual,2023-24,Prosecutions,824
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2013-14,Convictions,510
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2013-14,Prosecutions,1027
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2014-15,Convictions,544
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2014-15,Prosecutions,952
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2015-16,Convictions,601
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2015-16,Prosecutions,865
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2016-17,Convictions,616
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2016-17,Prosecutions,842
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2017-18,Convictions,683
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2017-18,Prosecutions,941
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2018-19,Convictions,553
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2018-19,Prosecutions,776
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2019-20,Convictions,491
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2019-20,Prosecutions,851
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2020-21,Convictions,463
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2020-21,Prosecutions,1039
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2021-22,Convictions,563
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2021-22,Prosecutions,1015
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2022-23,Convictions,490
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2022-23,Prosecutions,886
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2023-24,Convictions,520
"03803 - Acquisition, use or possession of criminal property (principal offence only) - Section 329 of POCA",Overall,2023-24,Prosecutions,892
03804 - Proceeds of Crime Act 2002 - failure to disclose; another person involved in money laundering - regulated sector (principal offence only) - Section 330 of POCA,Overall,2013-14,Convictions,8
03804 - Proceeds of Crime Act 2002 - failure to disclose; another person involved in money laundering - regulated sector (principal offence only) - Section 330 of POCA,Overall,2013-14,Prosecutions,4
03804 - Proceeds of Crime Act 2002 - failure to disclose; another person involved in money laundering - regulated sector (principal offence only) - Section 330 of POCA,Overall,2014-15,Convictions,2
